epoch,reward/trans_loss,reward/eval_cse_loss,reward/eval_trans_loss
0,100.0,0.6964956,0.6964956
1,0.6904387,0.6904387,2.7758028507232666
2,0.6428388,0.6428388,0.004628658294677734
3,0.6112363,0.6112363,0.004667997360229492
4,0.5916744,0.5916744,0.004908084869384766
5,0.5810362,0.5810362,0.00545191764831543,0.5344877,0.5344877,5,0.5344877
6,0.57290757,0.57290757,0.003912687301635742
7,0.5634295,0.5634295,0.00446772575378418
8,0.55562747,0.55562747,0.0049779415130615234
9,0.55012715,0.55012715,0.006676197052001953
10,0.5451467,0.5451467,0.004651784896850586,0.48924044,0.48924044,10,0.48924044
11,0.53678167,0.53678167,0.005584716796875
12,0.53304183,0.53304183,0.005392789840698242
13,0.5289569,0.5289569,0.004663228988647461
14,0.523963,0.523963,0.00421452522277832
15,0.5199282,0.5199282,0.004753589630126953,0.45914382,0.45914382,15,0.45914382
16,0.516039,0.516039,0.004775047302246094
17,0.5134367,0.5134367,0.0056264400482177734
18,0.50850546,0.50850546,0.00497746467590332
19,0.50633675,0.50633675,0.004592180252075195
20,0.5033234,0.5033234,0.004671812057495117,0.44111395,0.44111395,20,0.44111395
21,0.5009788,0.5009788,0.004799842834472656
22,0.4987089,0.4987089,0.004691362380981445
23,0.4955273,0.4955273,0.004628419876098633
24,0.4911879,0.4911879,0.0055582523345947266
25,0.48793197,0.48793197,0.004409313201904297,0.42358595,0.42358595,25,0.42358595
26,0.48602784,0.48602784,0.004220724105834961
27,0.48494217,0.48494217,0.005307912826538086
28,0.48193634,0.48193634,0.005305767059326172
29,0.47707137,0.47707137,0.0059087276458740234
30,0.47729164,0.47729164,0.004500627517700195,0.40240738,0.40240738,30,0.40240738
31,0.4759826,0.4759826,0.0032644271850585938
32,0.4728604,0.4728604,0.004407167434692383
33,0.4706381,0.4706381,0.0050106048583984375
34,0.46814513,0.46814513,0.004632711410522461
35,0.46395445,0.46395445,0.004729032516479492,0.38421685,0.38421685,35,0.38421685
36,0.46131444,0.46131444,0.004975795745849609
37,0.45964444,0.45964444,0.004945516586303711
38,0.45799905,0.45799905,0.00472259521484375
39,0.45497036,0.45497036,0.004828691482543945
40,0.45165193,0.45165193,0.004483699798583984,0.3565824,0.3565824,40,0.3565824
41,0.4467528,0.4467528,0.003871917724609375
42,0.44869506,0.44869506,0.005069732666015625
43,0.4473983,0.4473983,0.0048487186431884766
44,0.44295514,0.44295514,0.004752159118652344
45,0.44092864,0.44092864,0.004342317581176758,0.33082038,0.33082038,45,0.33082038
46,0.44073308,0.44073308,0.0042078495025634766
47,0.4360906,0.4360906,0.004766941070556641
48,0.43772027,0.43772027,0.004920244216918945
49,0.42971522,0.42971522,0.004261016845703125
50,0.43002695,0.43002695,0.004765510559082031,0.29984146,0.29984146,50,0.29984146
51,0.42663068,0.42663068,0.0055959224700927734
52,0.42565304,0.42565304,0.004646778106689453
53,0.42391235,0.42391235,0.004902362823486328
54,0.41883808,0.41883808,0.004396677017211914
55,0.4251466,0.4251466,0.004693508148193359,0.29586738,0.29586738,55,0.29586738
56,0.41803432,0.41803432,0.004487752914428711
57,0.41781852,0.41781852,0.005733013153076172
58,0.41440272,0.41440272,0.004574775695800781
59,0.41423434,0.41423434,0.004484415054321289
60,0.4057309,0.4057309,0.004572153091430664,0.2778598,0.2778598,60,0.2778598
61,0.40328658,0.40328658,0.004738807678222656
62,0.4022113,0.4022113,0.0047245025634765625
63,0.39970613,0.39970613,0.004988431930541992
64,0.40134108,0.40134108,0.00481724739074707
65,0.39566934,0.39566934,0.00493931770324707,0.26431513,0.26431513,65,0.26431513
66,0.38818765,0.38818765,0.004793643951416016
67,0.3931344,0.3931344,0.005728006362915039
68,0.39127362,0.39127362,0.0045642852783203125
69,0.39169508,0.39169508,0.004991292953491211
70,0.38901263,0.38901263,0.0047588348388671875,0.25145108,0.25145108,70,0.25145108
71,0.3879398,0.3879398,0.0050373077392578125
72,0.3779533,0.3779533,0.004657268524169922
73,0.3786797,0.3786797,0.005033731460571289
74,0.37644544,0.37644544,0.004667997360229492
75,0.3792631,0.3792631,0.005520820617675781,0.23406428,0.23406428,75,0.23406428
76,0.37303093,0.37303093,0.004593849182128906
77,0.3761893,0.3761893,0.004587888717651367
78,0.3701804,0.3701804,0.004753828048706055
79,0.36901912,0.36901912,0.004625797271728516
80,0.37453645,0.37453645,0.00461578369140625,0.23088884,0.23088884,80,0.23088884
81,0.36432877,0.36432877,0.00334930419921875
82,0.37433118,0.37433118,0.0050313472747802734
83,0.3617704,0.3617704,0.0046350955963134766
84,0.36386877,0.36386877,0.005600929260253906
85,0.35833013,0.35833013,0.005204677581787109,0.22639349,0.22639349,85,0.22639349
86,0.3623644,0.3623644,0.003747701644897461
87,0.35870618,0.35870618,0.0049190521240234375
88,0.36029783,0.36029783,0.004334211349487305
89,0.35431188,0.35431188,0.004517316818237305
90,0.35590863,0.35590863,0.0047304630279541016,0.21954715,0.21954715,90,0.21954715
91,0.3553617,0.3553617,0.0033936500549316406
92,0.3543389,0.3543389,0.004485368728637695
93,0.35359237,0.35359237,0.0054988861083984375
94,0.34953785,0.34953785,0.005071401596069336
95,0.3519715,0.3519715,0.004563331604003906,0.22085083,0.22085083
96,0.3507911,0.3507911,0.00551152229309082
97,0.34331423,0.34331423,0.004486560821533203
98,0.3424834,0.3424834,0.004889965057373047
99,0.3428707,0.3428707,0.004697561264038086
100,0.3414705,0.3414705,0.004927158355712891,0.21909225,0.21909225
101,0.33847046,0.33847046,0.0059163570404052734
