epoch,reward/trans_loss,reward/eval_cse_loss,reward/eval_trans_loss
0,100.0,0.7035869,0.7035869
1,0.69672096,0.69672096,2.7520952224731445
2,0.65434563,0.65434563,0.003810882568359375
3,0.6219809,0.6219809,0.004461526870727539
4,0.60319746,0.60319746,0.005262851715087891
5,0.58816546,0.58816546,0.004975080490112305,0.54227674,0.54227674,5,0.54227674
6,0.5769745,0.5769745,0.003869295120239258
7,0.5670699,0.5670699,0.005358695983886719
8,0.56001747,0.56001747,0.005261898040771484
9,0.5518106,0.5518106,0.004978179931640625
10,0.5444979,0.5444979,0.0043697357177734375,0.50139546,0.50139546,10,0.50139546
11,0.5360809,0.5360809,0.004409074783325195
12,0.5320491,0.5320491,0.006513118743896484
13,0.5276055,0.5276055,0.004535198211669922
14,0.5241628,0.5241628,0.004673004150390625
15,0.52099395,0.52099395,0.004850149154663086,0.46557295,0.46557295,15,0.46557295
16,0.51515687,0.51515687,0.0033311843872070312
17,0.5122619,0.5122619,0.004469394683837891
18,0.5082034,0.5082034,0.00460362434387207
19,0.50445807,0.50445807,0.0055429935455322266
20,0.5013534,0.5013534,0.004611015319824219,0.44467863,0.44467863,20,0.44467863
21,0.49901646,0.49901646,0.004088401794433594
22,0.4959427,0.4959427,0.005140066146850586
23,0.4918358,0.4918358,0.005089521408081055
24,0.4915641,0.4915641,0.006114006042480469
25,0.48717427,0.48717427,0.004189729690551758,0.4230692,0.4230692,25,0.4230692
26,0.4856916,0.4856916,0.003264904022216797
27,0.4850229,0.4850229,0.004800558090209961
28,0.48112154,0.48112154,0.0047359466552734375
29,0.47856808,0.47856808,0.0051157474517822266
30,0.4758866,0.4758866,0.0043218135833740234,0.40360266,0.40360266,30,0.40360266
31,0.47415143,0.47415143,0.004378080368041992
32,0.4713707,0.4713707,0.005422115325927734
33,0.47100067,0.47100067,0.004319906234741211
34,0.4640891,0.4640891,0.0044367313385009766
35,0.46639967,0.46639967,0.025341033935546875,0.39092726,0.39092726,35,0.39092726
36,0.46197742,0.46197742,0.004242658615112305
37,0.4593103,0.4593103,0.004719972610473633
38,0.4571728,0.4571728,0.00503993034362793
39,0.45501205,0.45501205,0.0049021244049072266
40,0.45358282,0.45358282,0.005468130111694336,0.3772634,0.3772634,40,0.3772634
41,0.4521081,0.4521081,0.0040934085845947266
42,0.44514155,0.44514155,0.004960536956787109
43,0.445422,0.445422,0.0047588348388671875
44,0.4428992,0.4428992,0.005608081817626953
45,0.4423939,0.4423939,0.0061321258544921875,0.3491542,0.3491542,45,0.3491542
46,0.43963075,0.43963075,0.0041980743408203125
47,0.4344453,0.4344453,0.004300832748413086
48,0.43283898,0.43283898,0.004643440246582031
49,0.43002254,0.43002254,0.005212306976318359
